央卫V4,#genre#
体育休闲频道,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=626064707
江苏城市频道,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=626064714
江苏国际,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=626064674
江苏教育,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=628008321
江苏影视频道,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=626064697
江苏综艺频道,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=626065193
公共新闻频道,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=626064693
盐城新闻综合,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=639731825
淮安新闻综合,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=639731826
泰州新闻综合,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=639731818
连云港新闻综合,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=639731715
宿迁新闻综合,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=639731832
徐州新闻综合,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=639731747
优漫卡通频道,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=626064703
江阴新闻综合,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=955227979
南通新闻综合,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=955227985
宜兴新闻综合,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=955227996
溧水新闻综合,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=639737327
陕西银龄频道,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=956909362
陕西都市青春频道,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=956909358
陕西体育休闲频道,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=956909356
陕西秦腔频道,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=956909303
陕西新闻资讯频道,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=956909289
财富天下,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=956923159
CHC影迷电影,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=952383261
CHC动作电影,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=644368714
CHC家庭影院,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=644368373
熊猫频道01高清,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=609158151

CCTV1综合,http://114.66.3.23:1991/migu720p.php?id=608807420
CCTV2财经,http://114.66.3.23:1991/migu720p.php?id=631780532
CCTV3综艺,http://114.66.3.23:1991/migu720p.php?id=624878271
CCTV4中文国际,http://114.66.3.23:1991/migu720p.php?id=631780421
CCTV5体育,http://114.66.3.23:1991/migu720p.php?id=641886683
CCTV5+体育赛事,http://114.66.3.23:1991/migu720p.php?id=641886773
CCTV6电影,http://114.66.3.23:1991/migu720p.php?id=624878396
CCTV7国防军事,http://114.66.3.23:1991/migu720p.php?id=673168121
CCTV8电视剧,http://114.66.3.23:1991/migu720p.php?id=624878356
CCTV9纪录,http://114.66.3.23:1991/migu720p.php?id=673168140
CCTV10科教,http://114.66.3.23:1991/migu720p.php?id=624878405
CCTV11戏曲,http://114.66.3.23:1991/migu720p.php?id=667987558
CCTV12社会与法,http://114.66.3.23:1991/migu720p.php?id=673168185
CCTV13新闻,http://114.66.3.23:1991/migu720p.php?id=608807423
CCTV14少儿,http://114.66.3.23:1991/migu720p.php?id=624878440
CCTV15音乐,http://114.66.3.23:1991/migu720p.php?id=673168223
CCTV17农业农村,http://114.66.3.23:1991/migu720p.php?id=673168256
CCTV4欧洲,http://114.66.3.23:1991/migu720p.php?id=608807419
CCTV4美洲,http://114.66.3.23:1991/migu720p.php?id=608807416
CGTN外语纪录,http://114.66.3.23:1991/migu720p.php?id=609006487
CGTN阿拉伯语,http://114.66.3.23:1991/migu720p.php?id=609154345
CGTN西班牙语,http://114.66.3.23:1991/migu720p.php?id=609006450
CGTN法语,http://114.66.3.23:1991/migu720p.php?id=609006476
CGTN俄语,http://114.66.3.23:1991/migu720p.php?id=609006446
老故事,http://114.66.3.23:1991/migu720p.php?id=884121956
中学生,http://114.66.3.23:1991/migu720p.php?id=708869532
CGTN,http://114.66.3.23:1991/migu720p.php?id=609017205
东方卫视,http://114.66.3.23:1991/migu720p.php?id=651632648
江苏卫视,http://114.66.3.23:1991/migu720p.php?id=623899368
广东卫视,http://114.66.3.23:1991/migu720p.php?id=608831231
江西卫视,http://114.66.3.23:1991/migu720p.php?id=783847495
河南卫视,http://114.66.3.23:1991/migu720p.php?id=790187291
陕西卫视,http://114.66.3.23:1991/migu720p.php?id=738910838
大湾区卫视,http://114.66.3.23:1991/migu720p.php?id=608917627
湖北卫视,http://114.66.3.23:1991/migu720p.php?id=947472496
吉林卫视,http://114.66.3.23:1991/migu720p.php?id=947472500
青海卫视,http://114.66.3.23:1991/migu720p.php?id=947472506
东南卫视,http://114.66.3.23:1991/migu720p.php?id=849116810
海南卫视,http://114.66.3.23:1991/migu720p.php?id=947472502
海峡卫视,http://114.66.3.23:1991/migu720p.php?id=849119120
农林卫视,http://114.66.3.23:1991/migu720p.php?id=956904896
兵团卫视,http://114.66.3.23:1991/migu720p.php?id=956923145
辽宁卫视,http://114.66.3.23:1991/migu720p.php?id=630291707


4K频道,#genre#
CCTV4K超高清,http://119.91.7.169:2026/tv/mg1.php?id=CCTV4K超高清
CCTV8K超高清,http://119.91.7.169:2026/tv/mg1.php?id=CCTV8K超高清
浙江卫视4K,https://play-qukan.cztv.com:443/live/1758879019692345.m3u8
北京卫视4K,http://139.ye23.vip/dl/btv2502.php?id=bjws4
湖南卫视4K,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
深圳卫视4K,http://nn.7x9d.cn/深圳最新.php?id=szws4k

北京卫视4K,http://43.251.226.89:8080/play/152.m3u8
江苏卫视4K,http://43.251.226.89:8080/play/153.m3u8
深圳卫视4K,http://43.251.226.89:8080/play/154.m3u8
湖南卫视4K,http://43.251.226.89:8080/play/155.m3u8
浙江卫视4K,http://43.251.226.89:8080/play/156.m3u8

央视【高清】,#genre#
CCTV1,http://119.91.7.169:2026/ysws.php?id=CCTV1
CCTV2,http://119.91.7.169:2026/ysws.php?id=CCTV2
CCTV3,http://119.91.7.169:2026/ysws.php?id=CCTV3
CCTV4,http://119.91.7.169:2026/ysws.php?id=CCTV4
CCTV5,http://119.91.7.169:2026/ysws.php?id=CCTV5
CCTV5+,http://119.91.7.169:2026/ysws.php?id=CCTV5p
CCTV6,http://119.91.7.169:2026/ysws.php?id=CCTV6
CCTV7,http://119.91.7.169:2026/ysws.php?id=CCTV7
CCTV8,http://119.91.7.169:2026/ysws.php?id=CCTV8
CCTV9,http://119.91.7.169:2026/ysws.php?id=CCTV9
CCTV10,http://119.91.7.169:2026/ysws.php?id=CCTV10
CCTV11,http://119.91.7.169:2026/ysws.php?id=CCTV11
CCTV12,http://119.91.7.169:2026/ysws.php?id=CCTV12
CCTV13,http://119.91.7.169:2026/ysws.php?id=CCTV13
CCTV14,http://119.91.7.169:2026/ysws.php?id=CCTV14
CCTV15,http://119.91.7.169:2026/ysws.php?id=CCTV15
CCTV16,http://119.91.7.169:2026/ysws.php?id=CCTV16
CCTV17,http://119.91.7.169:2026/ysws.php?id=CCTV17
CCTV1,http://119.91.7.169:2026/tv/mg1.php?id=CCTV1
CCTV2,http://119.91.7.169:2026/tv/mg1.php?id=CCTV2
CCTV3,http://119.91.7.169:2026/tv/mg1.php?id=CCTV3
CCTV4,http://119.91.7.169:2026/tv/mg1.php?id=CCTV4
CCTV5,http://119.91.7.169:2026/tv/mg1.php?id=CCTV5
CCTV6,http://119.91.7.169:2026/tv/mg1.php?id=CCTV6
CCTV7,http://119.91.7.169:2026/tv/mg1.php?id=CCTV7
CCTV8,http://119.91.7.169:2026/tv/mg1.php?id=CCTV8
CCTV9,http://119.91.7.169:2026/tv/mg1.php?id=CCTV9
CCTV10,http://119.91.7.169:2026/tv/mg1.php?id=CCTV10
CCTV11,http://119.91.7.169:2026/tv/mg1.php?id=CCTV11
CCTV12,http://119.91.7.169:2026/tv/mg1.php?id=CCTV12
CCTV13,http://119.91.7.169:2026/tv/mg1.php?id=CCTV13
CCTV14,http://119.91.7.169:2026/tv/mg1.php?id=CCTV14
CCTV15,http://119.91.7.169:2026/tv/mg1.php?id=CCTV15
CCTV16,http://119.91.7.169:2026/tv/mg1.php?id=CCTV16
CCTV17,http://119.91.7.169:2026/tv/mg1.php?id=CCTV17

CCTV5+,http://119.91.7.169:2026/tv/mg1.php?id=CCTV5p
CGTN,https://0472.org/hls/cgtn.m3u8
CGTN记录,https://0472.org/hls/cgtnd.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8



CCTV1 综合,http://111.221.137.155:44330/tsfile/live/0001_1.m3u8?key=txiptv
CCTV2 财经,http://111.221.137.155:44330/tsfile/live/0002_1.m3u8?key=txiptv
CCTV3 综艺,http://111.221.137.155:44330/tsfile/live/0003_1.m3u8?key=txiptv
CCTV4 中文国际,http://111.221.137.155:44330/tsfile/live/0004_1.m3u8?key=txiptv
CCTV5 体育,http://111.221.137.155:44330/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5+ 体育赛事,http://111.221.137.155:44330/tsfile/live/0016_1.m3u8?key=txiptv
CCTV6 电影,http://111.221.137.155:44330/tsfile/live/0006_1.m3u8?key=txiptv
CCTV7 国防军事,http://111.221.137.155:44330/tsfile/live/0007_1.m3u8?key=txiptv
CCTV8 电视剧,http://111.221.137.155:44330/tsfile/live/0008_1.m3u8?key=txiptv
CCTV9 纪录,http://111.221.137.155:44330/tsfile/live/0009_1.m3u8?key=txiptv
CCTV10 科教,http://111.221.137.155:44330/tsfile/live/0010_1.m3u8?key=txiptv
CCTV11 戏曲,http://111.221.137.155:44330/tsfile/live/0011_1.m3u8?key=txiptv
CCTV12 社会与法,http://111.221.137.155:44330/tsfile/live/0012_1.m3u8?key=txiptv
CCTV13 新闻,http://111.221.137.155:44330/tsfile/live/0013_1.m3u8?key=txiptv
CCTV14 少儿,http://111.221.137.155:44330/tsfile/live/0014_1.m3u8?key=txiptv
CCTV15 音乐,http://111.221.137.155:44330/tsfile/live/0015_1.m3u8?key=txiptv
CGTN,http://111.221.137.155:44330/tsfile/live/1012_1.m3u8?key=txiptv
重庆卫视,http://111.221.137.155:44330/tsfile/live/0142_1.m3u8?key=txiptv
江苏卫视,http://111.221.137.155:44330/tsfile/live/0135_1.m3u8?key=txiptv
浙江卫视,http://111.221.137.155:44330/tsfile/live/0131_1.m3u8?key=txiptv
东方卫视,http://111.221.137.155:44330/tsfile/live/0107_1.m3u8?key=txiptv
深圳卫视,http://111.221.137.155:44330/tsfile/live/1013_1.m3u8?key=txiptv
北京卫视,http://111.221.137.155:44330/tsfile/live/0138_1.m3u8?key=txiptv
山东卫视,http://111.221.137.155:44330/tsfile/live/0121_2.m3u8?key=txiptv
天津卫视,http://111.221.137.155:44330/tsfile/live/0132_2.m3u8?key=txiptv
四川卫视,http://111.221.137.155:44330/tsfile/live/1017_1.m3u8?key=txiptv
云南卫视,http://111.221.137.155:44330/tsfile/live/0116_1.m3u8?key=txiptv
黑龙江卫视,http://111.221.137.155:44330/tsfile/live/0143_1.m3u8?key=txiptv
安徽卫视,http://111.221.137.155:44330/tsfile/live/0120_1.m3u8?key=txiptv
山西卫视,http://111.221.137.155:44330/tsfile/live/1020_1.m3u8?key=txiptv
江西卫视,http://111.221.137.155:44330/tsfile/live/1019_1.m3u8?key=txiptv
湖北卫视,http://111.221.137.155:44330/tsfile/live/0132_1.m3u8?key=txiptv
旅游卫视,http://111.221.137.155:44330/tsfile/live/1016_1.m3u8?key=txiptv
陕西卫视,http://111.221.137.155:44330/tsfile/live/0114_1.m3u8?key=txiptv
吉林卫视,http://111.221.137.155:44330/tsfile/live/0017_1.m3u8?key=txiptv
辽宁卫视,http://111.221.137.155:44330/tsfile/live/0121_1.m3u8?key=txiptv
湖南卫视,http://111.221.137.155:44330/tsfile/live/0122_1.m3u8?key=txiptv
广东卫视,http://111.221.137.155:44330/tsfile/live/0125_1.m3u8?key=txiptv
河南卫视,http://111.221.137.155:44330/tsfile/live/0123_1.m3u8?key=txiptv
广东新闻,http://111.221.137.155:44330/tsfile/live/1001_1.m3u8?key=txiptv
广东公共,http://111.221.137.155:44330/tsfile/live/0127_1.m3u8?key=txiptv
南方卫视,http://111.221.137.155:44330/tsfile/live/1002_1.m3u8?key=txiptv
广东体育,http://111.221.137.155:44330/tsfile/live/1000_1.m3u8?key=txiptv
深圳公共,http://111.221.137.155:44330/tsfile/live/1005_1.m3u8?key=txiptv
深圳电视剧,http://111.221.137.155:44330/tsfile/live/1015_1.m3u8?key=txiptv
深圳财经生活,http://111.221.137.155:44330/tsfile/live/1011_1.m3u8?key=txiptv
深圳都市,http://111.221.137.155:44330/tsfile/live/1014_1.m3u8?key=txiptv
澳亚卫视,http://111.221.137.155:44330/tsfile/live/1018_1.m3u8?key=txiptv
重温经典,http://111.221.137.155:44330/tsfile/live/1003_1.m3u8?key=txiptv
翡翠台,http://111.221.137.155:44330/tsfile/live/1021_1.m3u8?key=txiptv
明珠台,http://111.221.137.155:44330/tsfile/live/0138_2.m3u8?key=txiptv
星空卫视,http://111.221.137.155:44330/tsfile/live/0139_1.m3u8?key=txiptv
Channel [V],http://111.221.137.155:44330/tsfile/live/0118_1.m3u8?key=txiptv
凤凰卫视中文台,http://111.221.137.155:44330/tsfile/live/0136_1.m3u8?key=txiptv

卫视【高清】,#genre#
北京卫视,http://119.91.7.169:2026/ysws.php?id=北京卫视
东方卫视,http://bp-resource-dfl.bestv.cn/148/3/video.m3u8 
湖南卫视,http://119.91.7.169:2026/ysws.php?id=湖南卫视
浙江卫视,http://119.91.7.169:2026/ysws.php?id=浙江卫视
江苏卫视,http://119.91.7.169:2026/ysws.php?id=江苏卫视
广东卫视,http://119.91.7.169:2026/ysws.php?id=广东卫视
山东卫视,http://119.91.7.169:2026/ysws.php?id=山东卫视
东南卫视,http://119.91.7.169:2026/ysws.php?id=东南卫视
深圳卫视,http://119.91.7.169:2026/ysws.php?id=深圳卫视
安徽卫视,http://119.91.7.169:2026/ysws.php?id=安徽卫视
四川卫视,http://119.91.7.169:2026/ysws.php?id=四川卫视
重庆卫视,http://119.91.7.169:2026/ysws.php?id=重庆卫视
天津卫视,http://119.91.7.169:2026/ysws.php?id=天津卫视
湖北卫视,http://119.91.7.169:2026/ysws.php?id=湖北卫视
河北卫视,http://119.91.7.169:2026/ysws.php?id=河北卫视
河南卫视,http://119.91.7.169:2026/ysws.php?id=河南卫视
海南卫视,http://119.91.7.169:2026/ysws.php?id=海南卫视
山西卫视,http://119.91.7.169:2026/ysws.php?id=山西卫视
江西卫视,http://119.91.7.169:2026/ysws.php?id=江西卫视
广西卫视,http://119.91.7.169:2026/ysws.php?id=广西卫视
陕西卫视,http://119.91.7.169:2026/ysws.php?id=陕西卫视
吉林卫视,http://119.91.7.169:2026/ysws.php?id=吉林卫视
黑龙江卫视,http://119.91.7.169:2026/ysws.php?id=黑龙江卫视
辽宁卫视,http://119.91.7.169:2026/ysws.php?id=辽宁卫视
青海卫视,http://119.91.7.169:2026/ysws.php?id=青海卫视
宁夏卫视,http://119.91.7.169:2026/ysws.php?id=宁夏卫视
甘肃卫视,http://119.91.7.169:2026/ysws.php?id=甘肃卫视
贵州卫视,http://119.91.7.169:2026/ysws.php?id=贵州卫视
云南卫视,http://119.91.7.169:2026/ysws.php?id=云南卫视
新疆卫视,http://119.91.7.169:2026/ysws.php?id=新疆卫视
内蒙古卫视,http://119.91.7.169:2026/ysws.php?id=内蒙古卫视
西藏卫视,http://119.91.7.169:2026/ysws.php?id=西藏卫视
湖南卫视,http://119.91.7.169:2026/tv/mg4.php?id=湖南卫视
江苏卫视,http://119.91.7.169:2026/tv/mg4.php?id=江苏卫视
浙江卫视,http://119.91.7.169:2026/tv/mg4.php?id=浙江卫视
东方卫视,http://119.91.7.169:2026/tv/mg4.php?id=东方卫视
广东卫视,http://119.91.7.169:2026/tv/mg4.php?id=广东卫视
深圳卫视,http://119.91.7.169:2026/tv/mg4.php?id=深圳卫视
北京卫视,http://119.91.7.169:2026/tv/mg4.php?id=北京卫视
天津卫视,http://119.91.7.169:2026/tv/mg4.php?id=天津卫视
山东卫视,http://119.91.7.169:2026/tv/mg4.php?id=山东卫视
湖北卫视,http://119.91.7.169:2026/tv/mg4.php?id=湖北卫视
黑龙江卫视,http://119.91.7.169:2026/tv/mg4.php?id=黑龙江卫视
河北卫视,http://119.91.7.169:2026/tv/mg4.php?id=河北卫视
安徽卫视,http://119.91.7.169:2026/tv/mg4.php?id=安徽卫视
辽宁卫视,http://119.91.7.169:2026/tv/mg4.php?id=辽宁卫视
东南卫视,http://119.91.7.169:2026/tv/mg4.php?id=东南卫视
江西卫视,http://119.91.7.169:2026/tv/mg4.php?id=江西卫视
重庆卫视,http://119.91.7.169:2026/tv/mg4.php?id=重庆卫视
四川卫视,http://119.91.7.169:2026/tv/mg4.php?id=四川卫视
广西卫视,http://119.91.7.169:2026/tv/mg4.php?id=广西卫视
云南卫视,http://119.91.7.169:2026/tv/mg4.php?id=云南卫视
河南卫视,http://119.91.7.169:2026/tv/mg4.php?id=河南卫视
陕西卫视,http://119.91.7.169:2026/tv/mg4.php?id=陕西卫视
贵州卫视,http://119.91.7.169:2026/tv/mg4.php?id=贵州卫视
吉林卫视,http://119.91.7.169:2026/tv/mg4.php?id=吉林卫视
海南卫视,http://119.91.7.169:2026/tv/mg4.php?id=海南卫视
甘肃卫视,http://119.91.7.169:2026/tv/mg4.php?id=甘肃卫视
山西卫视,http://119.91.7.169:2026/tv/mg4.php?id=山西卫视
青海卫视,http://119.91.7.169:2026/tv/mg4.php?id=青海卫视
内蒙古卫视,http://119.91.7.169:2026/tv/mg4.php?id=内蒙古卫视
新疆卫视,http://119.91.7.169:2026/tv/mg4.php?id=新疆卫视
西藏卫视,http://119.91.7.169:2026/tv/mg4.php?id=西藏卫视
厦门卫视,http://119.91.7.169:2026/tv/mg4.php?id=厦门卫视
大湾区卫视,http://119.91.7.169:2026/tv/mg4.php?id=大湾区卫视


数字频道,#genre#
重温经典,http://8.138.7.223/tv/cwjd.php
CHC动作电影,http://119.91.7.169:2026/tv/mg3.php?id=CHC动作电影
CHC影迷电影,http://119.91.7.169:2026/tv/mg3.php?id=CHC影迷电影
CHC家庭影院,http://119.91.7.169:2026/tv/mg3.php?id=CHC家庭影院
重温经典,http://119.91.7.169:2026/tv/mg1.php?id=重温经典
CCTV4K超高清,http://119.91.7.169:2026/tv/mg1.php?id=CCTV4K超高清
CCTV8K超高清,http://119.91.7.169:2026/tv/mg1.php?id=CCTV8K超高清
第一剧场,http://119.91.7.169:2026/tv/mg1.php?id=CCTV第一剧场
风云剧场,http://119.91.7.169:2026/tv/mg1.php?id=CCTV风云剧场
怀旧剧场,http://119.91.7.169:2026/tv/mg1.php?id=CCTV怀旧剧场
风云音乐,http://119.91.7.169:2026/tv/mg1.php?id=CCTV风云音乐
风云足球,http://119.91.7.169:2026/tv/mg1.php?id=CCTV风云足球
高尔夫网球,http://119.91.7.169:2026/tv/mg1.php?id=CCTV高尔夫网球
央视台球,http://119.91.7.169:2026/tv/mg1.php?id=CCTV央视台球
电视指南,http://119.91.7.169:2026/tv/mg1.php?id=CCTV电视指南
兵器科技,http://119.91.7.169:2026/tv/mg1.php?id=CCTV兵器科技
世界地理,http://119.91.7.169:2026/tv/mg1.php?id=CCTV世界地理
女性时尚,http://119.91.7.169:2026/tv/mg1.php?id=CCTV女性时尚
卫生健康,http://119.91.7.169:2026/tv/mg1.php?id=CCTV卫生健康
央视文化精品,http://119.91.7.169:2026/tv/mg1.php?id=CCTV央视文化精品








北京地方,#genre#
北京卫视,http://146.56.248.47:1366/SuanFaZhibo2026/live5/beijing/beijing.php?id=bjws
北京卫视4k,http://146.56.248.47:1366/SuanFaZhibo2026/live5/beijing/beijing.php?id=bjws4k
BRTV文艺,http://146.56.248.47:1366/SuanFaZhibo2026/live5/beijing/beijing.php?id=bjwy
BRTV纪实科教,http://146.56.248.47:1366/SuanFaZhibo2026/live5/beijing/beijing.php?id=bjjs
BRTV影视,http://146.56.248.47:1366/SuanFaZhibo2026/live5/beijing/beijing.php?id=bjys
BRTV财经,http://146.56.248.47:1366/SuanFaZhibo2026/live5/beijing/beijing.php?id=bjcj
BRTV生活,http://146.56.248.47:1366/SuanFaZhibo2026/live5/beijing/beijing.php?id=bjsh
BRTV新闻,http://146.56.248.47:1366/SuanFaZhibo2026/live5/beijing/beijing.php?id=bjxw
卡酷少儿,http://146.56.248.47:1366/SuanFaZhibo2026/live5/beijing/beijing.php?id=bjkk






浙江地方,#genre#

浙江卫视,http://146.56.248.47:1366/SuanFaZhibo2026/live5/zhejiang/zhejiang.php?id=zjws
浙江钱江,http://146.56.248.47:1366/SuanFaZhibo2026/live5/zhejiang/zhejiang.php?id=zjqj
浙江生活,http://146.56.248.47:1366/SuanFaZhibo2026/live5/zhejiang/zhejiang.php?id=zjjjsh
浙江教科影视,http://146.56.248.47:1366/SuanFaZhibo2026/live5/zhejiang/zhejiang.php?id=zjjkys
浙江民生休闲,http://146.56.248.47:1366/SuanFaZhibo2026/live5/zhejiang/zhejiang.php?id=zjmsxx
浙江新闻,http://146.56.248.47:1366/SuanFaZhibo2026/live5/zhejiang/zhejiang.php?id=zjxw
浙江少儿,http://146.56.248.47:1366/SuanFaZhibo2026/live5/zhejiang/zhejiang.php?id=zjse
浙江国际,http://146.56.248.47:1366/SuanFaZhibo2026/live5/zhejiang/zhejiang.php?id=zjgj
